side,target_atr,stop_atr,target_ticks,stop_ticks,horizon,n,ties,tie_rate,target_first,stop_first,unresolved,gap_ns_median
1,4.0,0.5,101.87709120064558,12.734636400080698,60,128,0,0.0,0,0,0,
1,4.0,0.75,101.87709120064558,19.101954600121047,15,128,0,0.0,0,0,0,
1,4.0,0.75,101.87709120064558,19.101954600121047,30,128,0,0.0,0,0,0,
1,4.0,0.75,101.87709120064558,19.101954600121047,60,128,0,0.0,0,0,0,
1,4.0,1.0,101.87709120064558,25.469272800161395,15,128,0,0.0,0,0,0,
1,4.0,1.0,101.87709120064558,25.469272800161395,30,128,0,0.0,0,0,0,
1,4.0,1.0,101.87709120064558,25.469272800161395,60,128,0,0.0,0,0,0,
1,4.0,1.5,101.87709120064558,38.203909200242094,15,128,0,0.0,0,0,0,
1,4.0,1.5,101.87709120064558,38.203909200242094,30,128,0,0.0,0,0,0,
1,4.0,1.5,101.87709120064558,38.203909200242094,60,128,0,0.0,0,0,0,
1,0.75,0.5,20.374999999999943,13.583333333333295,15,1,0,0.0,0,0,0,
1,0.75,0.5,20.374999999999943,13.583333333333295,30,1,0,0.0,0,0,0,
1,0.75,0.5,20.374999999999943,13.583333333333295,60,1,0,0.0,0,0,0,
1,0.75,0.75,20.374999999999943,20.374999999999943,15,1,0,0.0,0,0,0,
1,0.75,0.75,20.374999999999943,20.374999999999943,30,1,0,0.0,0,0,0,
1,0.75,0.75,20.374999999999943,20.374999999999943,60,1,0,0.0,0,0,0,
1,0.75,1.0,20.374999999999943,27.16666666666659,15,1,0,0.0,0,0,0,
1,0.75,1.0,20.374999999999943,27.16666666666659,30,1,0,0.0,0,0,0,
1,0.75,1.0,20.374999999999943,27.16666666666659,60,1,0,0.0,0,0,0,
1,0.75,1.5,20.374999999999943,40.749999999999886,15,1,0,0.0,0,0,0,
1,0.75,1.5,20.374999999999943,40.749999999999886,30,1,0,0.0,0,0,0,
1,0.75,1.5,20.374999999999943,40.749999999999886,60,1,0,0.0,0,0,0,
1,1.0,0.5,27.16666666666659,13.583333333333295,15,1,0,0.0,0,0,0,
1,1.0,0.5,27.16666666666659,13.583333333333295,30,1,0,0.0,0,0,0,
1,1.0,0.5,27.16666666666659,13.583333333333295,60,1,0,0.0,0,0,0,
1,1.0,0.75,27.16666666666659,20.374999999999943,15,1,0,0.0,0,0,0,
1,1.0,0.75,27.16666666666659,20.374999999999943,30,1,0,0.0,0,0,0,
1,1.0,0.75,27.16666666666659,20.374999999999943,60,1,0,0.0,0,0,0,
1,1.0,1.0,27.16666666666659,27.16666666666659,15,1,0,0.0,0,0,0,
1,1.0,1.0,27.16666666666659,27.16666666666659,30,1,0,0.0,0,0,0,
1,1.0,1.0,27.16666666666659,27.16666666666659,60,1,0,0.0,0,0,0,
1,1.0,1.5,27.16666666666659,40.749999999999886,15,1,0,0.0,0,0,0,
1,1.0,1.5,27.16666666666659,40.749999999999886,30,1,0,0.0,0,0,0,
1,1.0,1.5,27.16666666666659,40.749999999999886,60,1,0,0.0,0,0,0,
1,1.5,0.5,40.749999999999886,13.583333333333295,15,1,0,0.0,0,0,0,
1,1.5,0.5,40.749999999999886,13.583333333333295,30,1,0,0.0,0,0,0,
1,1.5,0.5,40.749999999999886,13.583333333333295,60,1,0,0.0,0,0,0,
1,1.5,0.75,40.749999999999886,20.374999999999943,15,1,0,0.0,0,0,0,
1,1.5,0.75,40.749999999999886,20.374999999999943,30,1,0,0.0,0,0,0,
1,1.5,0.75,40.749999999999886,20.374999999999943,60,1,0,0.0,0,0,0,
1,1.5,1.0,40.749999999999886,27.16666666666659,15,1,0,0.0,0,0,0,
1,1.5,1.0,40.749999999999886,27.16666666666659,30,1,0,0.0,0,0,0,
1,1.5,1.0,40.749999999999886,27.16666666666659,60,1,0,0.0,0,0,0,
1,1.5,1.5,40.749999999999886,40.749999999999886,15,1,0,0.0,0,0,0,
1,1.5,1.5,40.749999999999886,40.749999999999886,30,1,0,0.0,0,0,0,
