bucket,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
"(14.0, inf]",CONTRACTING,-1,3.0,1.0,30,855,80,361,80,361,197.8912798400075,21.95308796592333,0.0935672514619883,0.0935672514619883,0.4222222222222222,0.4842105263157895,-0.1415204678362573,0.2314517892865585,0.06425519517436747,0.06425519517436745,0.02567612627593372,0.06873339238263951,-0.05048498133136271,0.11474017650573018,0.02483385907934879,0.09409530572188422,False,False,False,False,-0.08300113014951195,-0.009372967487572242
"(14.0, inf]",EXPANDING,1,3.0,1.0,60,2541,267,1377,267,1377,794.9783066042002,60.8751728936191,0.1050767414403778,0.1050767414403778,0.5419126328217237,0.35301062573789843,-0.22668240850059032,0.3128604118867376,0.06222083184202325,0.06222083184202323,0.023957171544124006,0.09470304975922954,0.017365270764207522,0.04485556107781573,0.010373691681148267,0.11133957883823442,False,False,False,False,-0.07965775194493245,-0.008718460051454602
"(14.0, inf]",STABLE,1,2.0,0.75,60,2218,501,1380,506,1375,226.93988447279446,56.16247469205734,0.22587917042380523,0.22813345356176737,0.6221821460775473,0.15193868349864748,-0.014878268710550046,0.10231735097961878,0.06211785833216281,0.06831713696155867,0.025321223936905925,0.21366149456037095,0.041308293202312045,0.020809565129850764,0.01221767586343428,0.2383337397405696,False,False,False,False,-0.10789149144401221,-0.0228868165559247
"(14.0, inf]",CONTRACTING,-1,4.0,1.0,30,855,30,362,30,362,316.5285797696391,21.95308796592333,0.03508771929824561,0.03508771929824561,0.4233918128654971,0.5415204678362573,-0.2830409356725146,0.3702088652276481,0.06149180327919976,0.06149180327919975,0.02567612627593372,0.028520814880425155,-0.05560528337374666,0.11709708665294641,0.006566904417820457,0.04568830059691968,False,False,False,False,-0.0841860301207584,-0.01134711342077932
"(14.0, inf]",CONTRACTING,-1,3.0,1.5,30,855,82,209,82,209,141.55766597178246,21.95308796592333,0.09590643274853801,0.09590643274853801,0.24444444444444444,0.6596491228070175,-0.07894736842105263,0.16556452160442392,0.06094102690743757,0.06094102690743757,0.02567612627593372,0.07351638618246235,-0.06223375119722044,0.12317477810465802,0.022390046566075655,0.09963050795812356,False,False,False,False,-0.1094425690336913,-0.024250771063126866
"(10.0, 14.0]",CONTRACTING,1,3.0,1.0,30,1665,66,682,66,682,648.7773148566737,63.50327803363372,0.03963963963963964,0.03963963963963964,0.4096096096096096,0.5507507507507508,-0.2906906906906907,0.38965604495896317,0.060825247341165144,0.06082524734116514,0.03814010692710734,0.04704170708050436,-0.007997537984636913,0.06882278532580205,-0.007402067440864725,0.06219290231915187,False,False,False,False,-0.09440443805588511,-0.016789595357359983
"(10.0, 14.0]",CONTRACTING,1,2.0,1.0,30,1665,240,677,240,677,359.95640861586975,63.50327803363372,0.14414414414414414,0.14414414414414414,0.4066066066066066,0.4492492492492493,-0.11831831831831832,0.21619003520472657,0.059731609959300914,0.05973160995930092,0.03814010692710734,0.14718719689621726,-0.005431270924745718,0.06516288088404663,-0.0030430527520731165,0.17198851808771554,False,False,False,False,-0.1147653296787563,-0.027516859859727693
"(14.0, inf]",CONTRACTING,-1,3.0,0.75,30,855,76,467,76,467,194.53693370261982,21.95308796592333,0.08888888888888889,0.08888888888888889,0.5461988304093567,0.3649122807017544,-0.14298245614035088,0.2275285774299647,0.05886999501368011,0.0588699950136801,0.02567612627593372,0.06395039858281665,-0.04018981916204716,0.09905981417572726,0.024938490306072245,0.08852611412429373,False,True,True,False,-0.05127045017430782,0.0037997724196861433
"(14.0, inf]",CONTRACTING,-1,4.0,1.5,30,855,30,209,30,209,265.54179526979163,21.95308796592333,0.03508771929824561,0.03508771929824561,0.24444444444444444,0.7204678362573099,-0.22631578947368422,0.3105751991459551,0.0585832833963372,0.05858328339633719,0.02567612627593372,0.029937998228520814,-0.06878719391675357,0.12737047731309076,0.005149721069724798,0.047482069179721,False,False,False,False,-0.11150862932743454,-0.02646267296554867
"(14.0, inf]",EXPANDING,1,3.0,0.75,60,2541,240,1614,241,1613,699.9406434643709,60.8751728936191,0.09445100354191263,0.09484454939000393,0.6351829988193625,0.27036599763872493,-0.19303423848878395,0.2754587341457579,0.05846732411284997,0.05994312104319234,0.023957171544124006,0.08685571606919922,0.02151784992879625,0.03694947418405371,0.007595287472713416,0.10287798647408114,False,False,False,False,-0.06577710987805925,-0.003654892882604642
