bucket,phase,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
"(14.0, inf]",Asia-London,1,1.5,1.0,30,1011,273,425,279,419,79.55146574144189,18.70284410406137,0.27002967359050445,0.27596439169139464,0.42037586547972305,0.3095944609297725,-0.01533135509396637,0.07868592061468041,0.04485521428029726,0.059692009532522766,0.018499351240416784,0.2449476959994001,0.025081977591104337,0.2833850938628772,False,False,False,False,-0.08395912447623068,-0.019551955097966707
"(14.0, inf]",NY-Asia,1,4.0,1.5,60,1926,141,777,141,777,720.2396109093011,32.35364231095475,0.07320872274143302,0.07320872274143302,0.40342679127725856,0.5233644859813085,-0.31230529595015577,0.37395618427274196,0.04485252782884022,0.04485252782884025,0.016798360493745973,0.057575527554273566,0.01563319518715945,0.0729662787991786,False,True,True,False,-0.015621901027725399,0.014615313400557411
"(7.0, 10.0]",London-NY,1,3.0,0.75,60,1712,326,1285,335,1276,140.54773668247157,78.41706703759255,0.19042056074766356,0.19567757009345793,0.7505841121495327,0.05899532710280375,0.00832359813084112,0.08209564058555582,0.04461487712901812,0.06432866217574709,0.04580436158737882,0.1283430285735192,0.062077532174144356,0.15147910652774668,False,True,True,False,-0.04355985474846602,0.0005275111902760497
"(14.0, inf]",Asia-London,1,4.0,1.5,60,1011,56,414,56,414,460.6475770275731,18.70284410406137,0.05539070227497527,0.05539070227497527,0.4094955489614243,0.5351137487636004,-0.3926805143422354,0.4556355855861257,0.044455720003473545,0.04445572000347353,0.018499351240416784,0.057575527554273566,-0.002184825279298294,0.07907717481957974,False,False,False,False,-0.18867475277643286,-0.07210951638647967
"(10.0, 14.0]",Asia,-1,3.0,1.5,60,7727,1334,3388,1334,3388,1650.4030545979135,229.06992178025365,0.1726413873430827,0.1726413873430827,0.43846253397178725,0.38889607868513,-0.13976963892843278,0.21358911021067858,0.044174082155773224,0.04417408215577325,0.029645389126472584,0.16967479340541874,0.002966593937663964,0.181735970033071,False,False,False,False,-0.050499157777742505,-0.0031625378109846405
"(10.0, 14.0]",Asia,-1,4.0,1.5,60,7727,743,3434,743,3434,2745.7682374540077,229.06992178025365,0.0961563349294681,0.0961563349294681,0.4444156852594797,0.4594279798110522,-0.2819981881713472,0.35534725475009804,0.04370367745227826,0.043703677452278246,0.029645389126472584,0.09250503638531431,0.0036512985441537887,0.10186118258830026,False,False,False,False,-0.047103294201241826,-0.001699808374481783
"(14.0, inf]",Asia-London,1,2.0,1.0,30,1011,158,437,161,434,183.83109153817276,18.70284410406137,0.1562809099901088,0.15924826904055392,0.43224530168150344,0.41147378832838777,-0.11968348170128586,0.1818309510763331,0.04364811813463046,0.05255019528596577,0.018499351240416784,0.14296426830640022,0.01331664168370858,0.17458912027833867,False,False,False,False,-0.08480990608447399,-0.020580893974921764
"(10.0, 14.0]",London-NY,-1,2.0,1.0,60,2347,825,1487,840,1472,11.710313280313652,74.04473215694073,0.35151256923732427,0.35790370685982104,0.6335747763101832,0.014912654452492569,0.06945036216446528,0.00498948158513577,0.0428911721872062,0.0620645850546966,0.03154867156239485,0.2773506557579246,0.07416191347939965,0.30344972901175304,False,True,True,False,-0.13435089527217337,-0.04572986154248358
"(10.0, 14.0]",Asia-London,1,0.75,1.5,60,1271,877,368,879,366,-13.005774132270034,38.445759606384954,0.6900078678206137,0.6915814319433516,0.2895357985837923,0.020456333595593956,0.08320220298977184,-0.010232709781487045,0.04272105921427617,0.046261578490436675,0.030248433994008617,0.6354068165933479,0.054601051227265884,0.6729427974898847,False,True,True,False,-0.08163460411563317,-0.0194567724506785
"(14.0, inf]",Asia-London,1,1.5,1.5,15,1011,166,156,169,153,46.52035860843542,18.70284410406137,0.1641938674579624,0.1671612265084075,0.1543026706231454,0.6815034619188922,0.01483679525222552,0.04601420238223088,0.04235164639403961,0.05125372354537494,0.018499351240416784,0.15225830533781262,0.01193556212014979,0.18467522957051444,False,False,False,False,-0.08825242602620849,-0.022950389816084438
"(14.0, inf]",London,-1,3.0,1.0,60,3737,629,2250,634,2245,591.0259703354942,70.09098694664937,0.16831683168316833,0.16965480331816965,0.6020872357506021,0.22959593256622957,-0.09713674070109714,0.1581551967716067,0.04226250558973638,0.04761439212974172,0.01875595048077318,0.14111127979353272,0.02720555188963561,0.15728545013799655,False,True,True,False,-0.09395265724677936,-0.02584507582852149
"(14.0, inf]",Asia,1,4.0,1.5,60,7706,518,3235,518,3235,3242.1145204873665,136.8915359810477,0.06722034778094992,0.06722034778094992,0.4198027511030366,0.5129769011160135,-0.3608227355307553,0.42072599539156064,0.04213898060035276,0.042138980600352816,0.017764279260452594,0.057575527554273566,0.00964482022667635,0.0651423507729654,False,True,True,False,-0.03067785299324671,0.0057305638035530255
"(14.0, inf]",London,-1,2.0,1.5,60,3737,1226,1568,1234,1560,125.74432128500344,70.09098694664937,0.32807064490232807,0.33021139951833023,0.4195879047364196,0.25234145036125233,0.02675943270002676,0.033648467028365915,0.041651949247619495,0.049144590403626995,0.01875595048077318,0.2900789433733111,0.037991701529016986,0.31100151900915685,False,True,True,False,-0.09701202371975448,-0.027680037236067493
