price,buy_vol,sell_vol,delta,total_vol
4005.9,75,67,8,142
4005.8,78,51,27,129
4005.7,81,68,13,149
4005.6,88,62,26,150
4005.5,73,62,11,135
4005.4,99,48,51,147
4005.3,89,61,28,150
4005.2,75,87,-12,162
4005.1,86,86,0,172
4005.0,219,108,111,327
4004.9,108,60,48,168
4004.8,76,81,-5,157
4004.7,107,96,11,203
4004.6,87,90,-3,177
4004.5,71,91,-20,162
4004.4,73,65,8,138
4004.3,76,79,-3,155
4004.2,64,59,5,123
4004.1,81,61,20,142
4004.0,92,66,26,158
4003.9,70,60,10,130
4003.8,72,63,9,135
4003.7,88,101,-13,189
4003.6,77,67,10,144
4003.5,59,88,-29,147
4003.4,58,107,-49,165
4003.3,64,65,-1,129
4003.2,88,46,42,134
4003.1,93,91,2,184
4003.0,65,103,-38,168
4002.9,88,76,12,164
4002.8,42,52,-10,94
4002.7,56,85,-29,141
4002.6,86,69,17,155
4002.5,74,51,23,125
4002.4,55,54,1,109
4002.3,47,71,-24,118
4002.2,61,38,23,99
4002.1,41,50,-9,91
4002.0,77,66,11,143
4001.9,43,33,10,76
4001.8,56,42,14,98
4001.7,89,44,45,133
4001.6,55,65,-10,120
4001.5,56,70,-14,126
4001.4,60,50,10,110
4001.3,56,64,-8,120
4001.2,60,52,8,112
4001.1,74,54,20,128
4001.0,76,144,-68,220
4000.9,61,100,-39,161
4000.8,81,101,-20,182
4000.7,63,59,4,122
4000.6,75,70,5,145
4000.5,82,117,-35,199
4000.4,85,104,-19,189
4000.3,93,64,29,157
4000.2,99,88,11,187
4000.1,73,112,-39,185
4000.0,266,223,43,489
3999.9,175,98,77,273
3999.8,104,118,-14,222
3999.7,103,83,20,186
3999.6,124,102,22,226
3999.5,168,96,72,264
3999.4,75,74,1,149
3999.3,110,71,39,181
3999.2,102,95,7,197
3999.1,113,122,-9,235
3999.0,123,157,-34,280
3998.9,139,120,19,259
3998.8,94,104,-10,198
3998.7,109,109,0,218
3998.6,145,101,44,246
3998.5,101,96,5,197
3998.4,127,133,-6,260
3998.3,123,120,3,243
