month,bucket,phase,vol_state,side,target_atr,stop_atr,target_ticks,stop_ticks,horizon,n,ties,tie_rate,target_first,stop_first,unresolved,gap_ns_median
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,1.0,26.28012861574866,13.14006430787433,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,1.0,26.28012861574866,13.14006430787433,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,1.5,26.28012861574866,19.710096461811496,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,1.5,26.28012861574866,19.710096461811496,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,2.0,1.5,26.28012861574866,19.710096461811496,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,0.5,39.42019292362299,6.570032153937165,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,0.5,39.42019292362299,6.570032153937165,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,0.5,39.42019292362299,6.570032153937165,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,0.75,39.42019292362299,9.855048230905748,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,0.75,39.42019292362299,9.855048230905748,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,0.75,39.42019292362299,9.855048230905748,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,1.0,39.42019292362299,13.14006430787433,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,1.0,39.42019292362299,13.14006430787433,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,1.0,39.42019292362299,13.14006430787433,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,1.5,39.42019292362299,19.710096461811496,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,1.5,39.42019292362299,19.710096461811496,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,3.0,1.5,39.42019292362299,19.710096461811496,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,0.5,52.56025723149732,6.570032153937165,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,0.5,52.56025723149732,6.570032153937165,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,0.5,52.56025723149732,6.570032153937165,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,0.75,52.56025723149732,9.855048230905748,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,0.75,52.56025723149732,9.855048230905748,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,0.75,52.56025723149732,9.855048230905748,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,1.0,52.56025723149732,13.14006430787433,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,1.0,52.56025723149732,13.14006430787433,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,1.0,52.56025723149732,13.14006430787433,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,1.5,52.56025723149732,19.710096461811496,15,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,1.5,52.56025723149732,19.710096461811496,30,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,EXPANDING,1,4.0,1.5,52.56025723149732,19.710096461811496,60,399,0,0.0,0,0,0,
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,0.5,9.065842299664048,6.043894866442699,15,778,18,0.02313624678663239,8,10,0,164147214136.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,0.5,9.065842299664048,6.043894866442699,30,778,18,0.02313624678663239,8,10,0,164147214136.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,0.5,9.065842299664048,6.043894866442699,60,778,18,0.02313624678663239,8,10,0,164147214136.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,0.75,9.065842299664048,9.065842299664048,15,778,8,0.010282776349614395,4,4,0,183992971653.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,0.75,9.065842299664048,9.065842299664048,30,778,8,0.010282776349614395,4,4,0,183992971653.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,0.75,9.065842299664048,9.065842299664048,60,778,8,0.010282776349614395,4,4,0,183992971653.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,1.0,9.065842299664048,12.087789732885398,15,778,1,0.0012853470437017994,1,0,0,76329145278.0
2025-01,"(0.0, 7.0]",Asia,STABLE,1,0.75,1.0,9.065842299664048,12.087789732885398,30,778,1,0.0012853470437017994,1,0,0,76329145278.0
