instrument,bucket,phase,vol_state,side,target_atr,stop_atr,horizon,n,target,stop,target_max,stop_min,open_pnl,cost_atr,p_target,p_target_max,p_stop,p_neither,ev_barrier,ev_open,ev_lo,ev_hi,cost,p_null,ev_null,ev_delta,lift,mde,thin,beats_mde,passes,undecided,ev_mirror,ev_sym
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,2.0,1.5,30,118,51,34,51,34,13.4643032292016,1.9944262608986256,0.4322033898305085,0.4322033898305085,0.288135593220339,0.2796610169491526,0.4322033898305085,0.11410426465425084,0.5294057370195168,0.5294057370195168,0.01690191746524259,0.19540546930412167,-0.02274617638348462,0.5521519134030014,0.23679792052638682,0.302537761420051,True,True,False,False,-0.57497203032417,-0.022783146652326614
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,4.0,1.5,30,107,12,30,12,30,59.62123856025264,7.1571529313375715,0.11214953271028037,0.11214953271028037,0.2803738317757009,0.6074766355140186,0.028037383177570093,0.557207837011707,0.5183559404571502,0.5183559404571502,0.06688927973212684,0.04104833479571205,-0.07775080719100043,0.5961067476481506,0.07110119791456831,0.10341594812515291,True,True,False,False,-0.5662242291825129,-0.023934144362681375
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,4.0,1.0,60,107,23,61,23,61,31.023825259841974,7.1571529313375715,0.21495327102803738,0.21495327102803738,0.5700934579439252,0.2149532710280374,0.2897196261682243,0.28994229214805584,0.5127726385841532,0.5127726385841532,0.06688927973212684,0.09612614054746278,-0.06414878421051497,0.5769214227946682,0.1188271304805746,0.18346852698770783,True,True,False,False,-0.5190932225958486,-0.0031602920058476647
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,3.0,0.75,30,118,24,60,24,60,33.73166993992193,1.9944262608986256,0.2033898305084746,0.2033898305084746,0.5084745762711864,0.288135593220339,0.2288135593220339,0.28586160966035534,0.49777325151714663,0.4977732515171466,0.01690191746524259,0.07400110331783434,-0.019202483955560117,0.5169757354727067,0.12938872719064026,0.14880663582101258,True,True,False,False,-0.3784355241308881,0.059668863693129265
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,4.0,0.75,60,107,21,67,21,67,25.826963845296167,7.1571529313375715,0.19626168224299065,0.19626168224299065,0.6261682242990654,0.17757009345794394,0.31542056074766356,0.24137349388127258,0.4899047748968093,0.4899047748968092,0.06688927973212684,0.08323995517848568,-0.05794513029525109,0.5478499051920603,0.11302172706450497,0.16584394886883702,True,True,False,False,-0.3670208413690598,0.06144196676387473
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,2.0,0.75,60,118,52,64,52,64,1.5057373907551475,1.9944262608986256,0.4406779661016949,0.4406779661016949,0.5423728813559322,0.016949152542372947,0.4745762711864407,0.012760486362331758,0.47043484008352987,0.47043484008352987,0.01690191746524259,0.21899062437662078,-0.030089991839221696,0.5005248319227515,0.22168734172507412,0.33004143853967477,True,True,False,False,-0.3972507192164613,0.036592060433534274
GC,"(14.0, inf]",London-NY,CONTRACTING,-1,2.0,1.0,30,118,46,49,47,48,12.785274621472343,1.9944262608986256,0.3898305084745763,0.3983050847457627,0.4152542372881356,0.19491525423728806,0.3644067796610169,0.10834978492773172,0.45585464712350604,0.48127837593706535,0.01690191746524259,0.17810702182993143,-0.025396465195968724,0.48125111231947476,0.21172348664464485,0.2820026900473196,True,True,False,False,-0.4719133023875356,-0.008029327632014777
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,2.0,1.0,60,107,53,52,53,52,1.3497468151144671,7.1571529313375715,0.4953271028037383,0.4953271028037383,0.48598130841121495,0.018691588785046787,0.5046728971962616,0.012614456216023057,0.4503980736801579,0.4503980736801579,0.06688927973212684,0.2993837041780054,-0.060188098570765396,0.5105861722509233,0.1959433986257329,0.4263999919842672,True,True,False,False,-0.31853018346021594,0.06593394510997097
GC,"(0.0, 7.0]",NY,EXPANDING,1,2.0,1.0,60,29,13,13,13,13,1.7472979339637358,1.7416956418880458,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.10344827586206895,0.4482758620689655,0.06025165289530123,0.4484690445543341,0.4484690445543341,0.06005847040993261,0.29602209060348966,-0.0739738102911712,0.5224428548455053,0.15225377146547586,0.5400597305321954,True,False,False,False,0.012547716232646855,0.23050838039349048
GC,"(0.0, 7.0]",Asia-London,CONTRACTING,-1,3.0,1.0,30,107,22,49,22,49,37.4738898406186,7.1571529313375715,0.205607476635514,0.205607476635514,0.45794392523364486,0.3364485981308411,0.1588785046728972,0.35022326953849153,0.4422124944792619,0.442212494479262,0.06688927973212684,0.08785717010643573,-0.06351514194800446,0.5057276364272664,0.11775030652907828,0.17221549634853095,True,True,False,False,-0.41635935552756326,0.012926569475849331
